,Neighbourhood,Venue,Venue_Category,Venue_Basic_Category,Venue_Restaurant_Count,Venue_Steakhouse_Count,Venue Latitude,Venue Longitude,Neighborhood Latitude,Neighborhood Longitude
102,Annex,Rose & Sons,American Restaurant,Restaurant,1,0,43.6756684758828,-79.40361659752443,43.670337700000005,-79.407117
103,Annex,Country Style Hungarian Restaurant,Eastern European Restaurant,Eastern,0,0,43.66562095917719,-79.40897737643422,43.670337700000005,-79.407117
104,Annex,Bar Begonia,French Restaurant,Restaurant,1,0,43.6750930219172,-79.40640565299303,43.670337700000005,-79.407117
105,Annex,Midoco Art & Office Supplies,Arts & Crafts Store,Arts,0,0,43.66524983686544,-79.41059231104832,43.670337700000005,-79.407117
106,Annex,Cobs Bread,Bakery,Bakery,0,0,43.66622171718618,-79.40606647691668,43.670337700000005,-79.407117
107,Annex,Dish Cooking Studio,Café,Café,0,0,43.67406646467061,-79.4107635453081,43.670337700000005,-79.407117
108,Annex,Real Thailand Restaurant,Thai Restaurant,Restaurant,1,0,43.66655676709821,-79.40465745192407,43.670337700000005,-79.407117
109,Annex,Nella Cucina,School,School,0,0,43.66712176731779,-79.41202212708252,43.670337700000005,-79.407117
110,Annex,Aroma Wellness Clinic and Spa,Spa,Spa,0,0,43.66483011797359,-79.41272601896088,43.670337700000005,-79.407117
111,Annex,Snakes & Lattes,Café,Café,0,0,43.66478921378291,-79.41315049188894,43.670337700000005,-79.407117
112,Annex,Fat Pasha,Jewish Restaurant,Restaurant,1,0,43.67378411528878,-79.41177020045674,43.670337700000005,-79.407117
113,Annex,Little Piggy's,Korean Restaurant,Restaurant,1,0,43.66604777565023,-79.40677363001396,43.670337700000005,-79.407117
114,Annex,Herbs & Nutrition Qi Natural Food,Health Food Store,Health,0,0,43.665013428045555,-79.41189818065214,43.670337700000005,-79.407117
115,Annex,Gyubee,Japanese Restaurant,Restaurant,1,0,43.66708824997601,-79.4005710246546,43.670337700000005,-79.407117
116,Annex,Burrito Bandidos,Burrito Place,Burrito,0,0,43.66662530828417,-79.40552083714118,43.670337700000005,-79.407117
117,Annex,Live Organic Food Bar,Vegetarian / Vegan Restaurant,Vegetarian,0,0,43.67505287052667,-79.40671518307245,43.670337700000005,-79.407117
118,Annex,Chadwick's,Gastropub,Gastropub,0,0,43.67359329474282,-79.41201462996214,43.670337700000005,-79.407117
119,Annex,Fuwa Fuwa Japanese Pancakes,Pastry Shop,Pastry,0,0,43.66587984725407,-79.40783968911445,43.670337700000005,-79.407117
120,Annex,Crêpes à GoGo,Creperie,Creperie,0,0,43.666609329440774,-79.4040605788033,43.670337700000005,-79.407117
121,Annex,Madame Boeuf And Flea,Burger Joint,Burger,0,0,43.67524,-79.40662,43.670337700000005,-79.407117
122,Annex,Playa Cabana,Mexican Restaurant,Restaurant,1,0,43.67611179256714,-79.4012790354265,43.670337700000005,-79.407117
123,Annex,Rasa,Restaurant,Restaurant,0,0,43.662756751275445,-79.40398803188654,43.670337700000005,-79.407117
124,Annex,Schmaltz Appetizing,Deli / Bodega,Deli,0,0,43.673894733822266,-79.41181770211539,43.670337700000005,-79.407117
125,Annex,Casa Loma,Castle,Castle,0,0,43.677934,-79.409521,43.670337700000005,-79.407117
126,Annex,Big Crow,BBQ Joint,BBQ,0,0,43.675896076491284,-79.40368028354095,43.670337700000005,-79.407117
127,Annex,Baldwin Steps,Historic Site,Historic,0,0,43.67770700052798,-79.40820890386739,43.670337700000005,-79.407117
128,Annex,Gordo Ex,Latin American Restaurant,Latin,0,0,43.67176256470684,-79.41384504378924,43.670337700000005,-79.407117
129,Annex,Rustle And Still,Coffee Shop,Coffee,0,0,43.664665,-79.412952,43.670337700000005,-79.407117
130,Annex,Rapido,Tea Room,Tea,0,0,43.67289531055692,-79.41410783253588,43.670337700000005,-79.407117
131,Annex,Yasu,Japanese Restaurant,Restaurant,1,0,43.66283719650635,-79.40321739973975,43.670337700000005,-79.407117
132,Annex,Mistura,Italian Restaurant,Restaurant,1,0,43.67428461619599,-79.398425962694,43.670337700000005,-79.407117
133,Annex,Harbord House,Bar,Bar,0,0,43.66246595195944,-79.40541041671369,43.670337700000005,-79.407117
